Date,Sales
2018-04-13,1345.8239999999998
2018-04-14,652.93
2018-04-15,332.338
2018-04-16,944.429
2018-04-17,3431.4590000000003
2018-04-20,1053.614
2018-04-21,1254.564
2018-04-22,947.692
2018-04-23,1199.222
2018-04-24,928.558
2018-04-25,678.113
2018-04-26,61.608000000000004
2018-04-27,576.5756
2018-04-28,795.296
2018-04-29,1053.26
2018-04-30,1390.1260000000002
2018-05-01,4108.37
2018-05-02,399.11
2018-05-03,1386.346
2018-05-04,1146.2450000000001
2018-05-05,185.123
2018-05-06,2991.4018
2018-05-07,2549.468
2018-05-08,3658.5540000000005
2018-05-09,1078.222
2018-05-11,449.469
2018-05-12,970.384
2018-05-13,3066.378
2018-05-14,4182.062
2018-05-15,421.264
2018-05-16,221.024
2018-05-18,1830.508
2018-05-19,4919.182
2018-05-20,2997.578
2018-05-21,538.02
2018-05-22,336.56199999999995
2018-05-23,241.436
2018-05-25,886.026
2018-05-26,270.24
2018-05-27,2084.908
2018-05-28,1480.103
2018-05-29,691.108
2018-05-30,736.8904
2018-06-01,586.042
2018-06-02,135.70600000000002
2018-06-03,2952.036
2018-06-04,279.414
2018-06-05,491.11199999999997
2018-06-06,31.349999999999998
2018-06-08,2227.038
2018-06-09,939.1329999999999
2018-06-10,2513.3430000000003
2018-06-11,1580.894
2018-06-12,1679.968
2018-06-13,1156.018
2018-06-15,4057.51
2018-06-16,2724.194
2018-06-17,3896.672
2018-06-18,1031.1555
2018-06-19,1900.193
2018-06-20,1028.228
2018-06-21,595.656
2018-06-22,579.019
2018-06-24,1184.684
2018-06-25,1508.3519999999999
2018-06-26,4224.136
2018-06-27,1644.906
2018-06-29,4521.9912
2018-06-30,4721.977
2018-07-01,639.83
2018-07-02,169.192
2018-07-03,6963.4039999999995
2018-07-05,476.35400000000004
2018-07-06,380.37800000000004
2018-07-07,1620.25
2018-07-08,1980.2640000000001
2018-07-09,1671.214
2018-07-10,359.21399999999994
2018-07-11,1728.892
2018-07-12,3.816
2018-07-13,504.542
2018-07-14,3598.9339999999997
2018-07-15,2132.229
2018-07-16,74.284
2018-07-17,2191.873
2018-07-18,2106.794
2018-07-20,2283.208
2018-07-21,3683.832
2018-07-22,556.3140000000001
2018-07-23,898.188
2018-07-24,2399.96
2018-07-25,798.742
2018-07-26,2012.3020000000001
2018-07-27,947.832
2018-07-28,1170.5639999999999
2018-07-29,1391.294
2018-07-30,523.376
2018-07-31,1558.028
2018-08-01,2085.65
2018-08-03,514.828
2018-08-04,20.07
2018-08-05,503.676
2018-08-06,1424.026
2018-08-07,3479.624
2018-08-10,1823.0700000000002
2018-08-11,708.726
2018-08-12,3693.084
2018-08-13,2643.164
2018-08-14,440.736
2018-08-15,1949.872
2018-08-16,80.564
2018-08-17,9517.287999999999
2018-08-18,7078.4839999999995
2018-08-19,512.446
2018-08-20,692.95
2018-08-21,8284.534
2018-08-22,524.54
2018-08-23,4590.344
2018-08-24,685.0560000000002
2018-08-25,361.988
2018-08-26,190.66
2018-08-27,6190.538
2018-08-28,1443.6319999999998
2018-08-29,235.46800000000002
2018-08-31,3162.83
2018-09-01,1261.81
2018-09-02,8652.334
2018-09-03,1595.849
2018-09-04,5360.202
2018-09-05,327.044
2018-09-07,3848.565
2018-09-08,2184.327
2018-09-09,4356.061
2018-09-10,2506.646
2018-09-11,5564.006
2018-09-12,491.54999999999995
2018-09-13,15.92
2018-09-14,3471.403
2018-09-15,7285.026
2018-09-16,831.65
2018-09-17,4979.226
2018-09-18,1511.93
2018-09-19,1648.188
2018-09-20,7359.918
2018-09-21,338.172
2018-09-22,7871.213
2018-09-23,2395.786
2018-09-24,6450.4619999999995
2018-09-25,1412.213
2018-09-26,1486.576
2018-09-28,559.271
2018-09-29,1846.78
2018-09-30,540.76
2018-10-01,2978.466
2018-10-02,5418.022
2018-10-03,2504.48
2018-10-04,19.98
2018-10-05,6684.616
2018-10-06,1180.82
2018-10-07,2749.21
2018-10-08,608.356
2018-10-09,1496.589
2018-10-10,239.358
2018-10-12,5625.394
2018-10-13,8405.802
2018-10-14,134.332
2018-10-15,1017.94
2018-10-16,3473.5969999999998
2018-10-17,126.352
2018-10-19,2781.8702000000003
2018-10-20,1333.858
2018-10-21,4537.201
2018-10-22,15158.877
2018-10-23,3352.3940000000002
2018-10-24,529.0849999999999
2018-10-26,999.868
2018-10-27,1086.32
2018-10-28,408.726
2018-10-29,46.96
2018-10-30,4025.7299999999996
